Sample name , age , uncertainty , unit name ,  sequential order
CV154 , 20.3 , 0.6 , ID , 3
CV155 , 14.7 , 0.5 , PD , 1
CV156 , 21.1 , 0.6 , PD , 1
CV157 , 23.5 , 0.7 , PD , 1
CV158 , 22.3 , 0.8 , PD , 1
CV159 , 18.9 , 0.5 , PM , 2
CV160 , 18.7 , 0.6 , PM , 2
CV161 , 22.2 , 0.7 , PD , 1
CV162 , 24.2 , 0.8 , PD , 1
CV163 , 21.9 , 0.6 , PD , 1
CV164 , 18 , 0.6 , PD , 1
CV165 , 21.6 , 0.6 , PD , 1
CV166 , 17.9 , 0.5 , ID , 3
CV167 , 19.1 , 0.5 , PM , 2
CV168 , 19.1 , 0.6 , PD , 1
CV169 , 19.9 , 0.5 , PD , 1
CV170 , 25 , 0.6 , PD , 1
CV171 , 21.1 , 0.6 , PM , 2
CV172 , 22.4 , 0.7 , PD , 1
CV173 , 21.1 , 0.5 , PD , 1
CV174 , 23.5 , 0.6 , PD , 1
CV175 , 21.6 , 0.7 , PM , 2
PINAR 07 , 15.9 , 2.6 , PD , 1
PINAR 08 , 21.4 , 8.4 , PD , 1
PINAR-09 , 23.8 , 2.2 , PD , 1
PINAR-10 , 18.7 , 3.9 , PM , 2
PINAR-11 , 16.8 , 3.3 , ID , 3
PINAR-12 , 14.9 , 2.5 , ID , 3
GREDOS-1 , 24.5 , 1.8 , PD , 1
GREDOS-2 , 24.1 , 1.8 , PD , 1
GREDOS-3 , 22.8 , 1.9 , ID , 3
GREDOS-4 , 22.8 , 1.5 , ID , 3
